LicenseNumber,LicenseType,LicenseTypeSubCategory,LicenseCategoryNumber,LicenseStatus,LicenseSubStatus,BusinessName,DoingBusinessAs,LocationStreetAddress,LocationCity,LocationState,LocationZip,LocationCounty
022784100,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #11049 OHIO CVS STORES LLC,,241 W. MADISON STREET,GIBSONBURG,OH,43431,Sandusky
022570100,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #16246,,449 HOWE AVENUE,CUYAHOGA FALLS,OH,44221,Summit
022570250,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #16247,,5584 DRESSLER ROAD NW,NORTH CANTON,OH,44720,Stark
022570050,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #16379,,1015 N COURT STREET,MEDINA,OH,44256,Medina
022570200,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #16381,,2801 W MARKET STREET,FAIRLAWN,OH,44333,Summit
022569950,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #16382,,4200 KENT ROAD,STOW,OH,44224,Summit
022570650,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #16422,,900 E KEMPER RD,SPRINGDALE,OH,45246,Hamilton
022570450,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #16470,,8680 BEECHMONT AVE.,CINCINNATI,OH,45255,Clermont
022570500,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #16484,,36195 EUCLID AVE.,WILLOUGHBY,OH,44094,Lake
022570900,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #16644,,5555 YOUNGSTOWN WARREN RD,NILES,OH,44446,Trumbull
022570950,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #16665,,1285 SOM CENTER RD,MAYFIELD HEIGHTS,OH,44124,Cuyahoga
022571150,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #16732,,100 RIVERS EDGE,MILFORD,OH,45150,Clermont
022571200,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #16779,,3245 Geier Dr,Cincinnati,OH,45209-5009,Hamilton
022571250,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #16795,,417 BOARDMAN POLAND RD,BOARDMAN,OH,44512,Mahoning
022572650,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #16864,,7644 Voice Of America Centre Dr,West Chester,OH,45069-2794,Butler
022571300,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #16873,,9040 COLERAIN AVE.,CINCINNATI,OH,45251,Hamilton
022571350,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #16927,,14070 CEDAR RD,UNIVERSITY HEIGHTS,OH,44118,Cuyahoga
022571400,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #16962,,8282 GOLDEN LINK BLVD,NORTHFIELD,OH,44067,Summit
022571450,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #17063,,3369 PRINCETON RD,HAMILTON,OH,45011,Butler
