LicenseNumber,LicenseType,LicenseTypeSubCategory,LicenseCategoryNumber,LicenseStatus,BusinessName,DoingBusinessAs,LocationStreetAddress,LocationCity,LocationState,LocationZip,LocationCounty,Geo,Full Address,ZCTA5,GEOID,votes_dem,votes_rep,pct_dem_lead
22784100,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS PHARMACY #11049 OHIO CVS STORES LLC,,241 W. MADISON STREET,GIBSONBURG,OH,43431,Sandusky,"(41.3841904, -83.32273889999999)","241 W. MADISON STREET, GIBSONBURG, OH 43431",43431,39143-GIBSONBURG B,241,380,-22
22570100,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS PHARMACY #16246,,449 HOWE AVENUE,CUYAHOGA FALLS,OH,44221,Summit,"(41.1209869, -81.47750099999999)","449 HOWE AVENUE, CUYAHOGA FALLS, OH 44221",44221,39153-CUYAHOGA FALLS 1-C,379,309,10
22570250,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS PHARMACY #16247,,5584 DRESSLER ROAD NW,NORTH CANTON,OH,44720,Stark,"(40.8620797, -81.4315038)","5584 DRESSLER ROAD NW, NORTH CANTON, OH 44720",44720,39151-JACKSON 03,291,297,-1
22570050,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS PHARMACY #16379,,1015 N COURT STREET,MEDINA,OH,44256,Medina,"(41.15473, -81.8654487)","1015 N COURT STREET, MEDINA, OH 44256",44256,39103-MEDINA CITY 1-C,459,528,-6.9
22570200,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS PHARMACY #16381,,2801 W MARKET STREET,FAIRLAWN,OH,44333,Summit,"(41.1280538, -81.6052191)","2801 W MARKET STREET, FAIRLAWN, OH 44333",44333,39153-FAIRLAWN 6-A,435,275,22.3
22569950,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS PHARMACY #16382,,4200 KENT ROAD,STOW,OH,44224,Summit,"(41.15599419999999, -81.410899)","4200 KENT ROAD, STOW, OH 44224",44224,39153-STOW 1-G,388,381,0.9
22570650,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS PHARMACY #16422,,900 E KEMPER RD,SPRINGDALE,OH,45246,Hamilton,"(39.2884211, -84.45420349999999)","900 E KEMPER RD, SPRINGDALE, OH 45246",45246,39061-SPRINGDALE E,349,251,16.1
22570450,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS PHARMACY #16470,,8680 BEECHMONT AVE.,CINCINNATI,OH,45255,Clermont,"(39.0738008, -84.3133325)","8680 BEECHMONT AVE., CINCINNATI, OH 45255",45255,39061-ANDERSON DD,472,541,-6.7
22570500,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS PHARMACY #16484,,36195 EUCLID AVE.,WILLOUGHBY,OH,44094,Lake,"(41.6292808, -81.4297869)","36195 EUCLID AVE., WILLOUGHBY, OH 44094",44094,39085-WILLOUGHBY CITY 6C,357,254,16.7
22570900,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS PHARMACY #16644,,5555 YOUNGSTOWN WARREN RD,NILES,OH,44446,Trumbull,"(41.21462650000001, -80.7515767)","5555 YOUNGSTOWN WARREN RD, NILES, OH 44446",44446,39155-NILES CITY 1D,314,355,-6.1
22570950,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,CVS PHARMACY #16665,,1285 SOM CENTER RD,MAYFIELD HEIGHTS,OH,44124,Cuyahoga,"(41.5246187, -81.4349055)","1285 SOM CENTER RD, MAYFIELD HEIGHTS, OH 44124",44124,39035-MAYFIELD HEIGHTS G,586,164,56.1
