LicenseNumber,LicenseType,LicenseTypeSubCategory,LicenseCategoryNumber,LicenseStatus,LicenseSubStatus,BusinessName,DoingBusinessAs,LocationStreetAddress,LocationCity,LocationState,LocationZip,LocationCounty,Geo,Full Address
22784100,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #11049 OHIO CVS STORES LLC,,241 W. MADISON STREET,GIBSONBURG,OH,43431,Sandusky,"(41.3841904, -83.32273889999999)","241 W. MADISON STREET, GIBSONBURG, OH 43431"
22570100,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #16246,,449 HOWE AVENUE,CUYAHOGA FALLS,OH,44221,Summit,"(41.1209869, -81.47750099999999)","449 HOWE AVENUE, CUYAHOGA FALLS, OH 44221"
22570250,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #16247,,5584 DRESSLER ROAD NW,NORTH CANTON,OH,44720,Stark,"(40.8620797, -81.4315038)","5584 DRESSLER ROAD NW, NORTH CANTON, OH 44720"
22570050,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #16379,,1015 N COURT STREET,MEDINA,OH,44256,Medina,"(41.15473, -81.8654487)","1015 N COURT STREET, MEDINA, OH 44256"
22570200,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #16381,,2801 W MARKET STREET,FAIRLAWN,OH,44333,Summit,"(41.1280538, -81.6052191)","2801 W MARKET STREET, FAIRLAWN, OH 44333"
22569950,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #16382,,4200 KENT ROAD,STOW,OH,44224,Summit,"(41.15599419999999, -81.410899)","4200 KENT ROAD, STOW, OH 44224"
22570650,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #16422,,900 E KEMPER RD,SPRINGDALE,OH,45246,Hamilton,"(39.2884211, -84.45420349999999)","900 E KEMPER RD, SPRINGDALE, OH 45246"
22570450,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #16470,,8680 BEECHMONT AVE.,CINCINNATI,OH,45255,Clermont,"(39.0738008, -84.3133325)","8680 BEECHMONT AVE., CINCINNATI, OH 45255"
22570500,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #16484,,36195 EUCLID AVE.,WILLOUGHBY,OH,44094,Lake,"(41.6292808, -81.4297869)","36195 EUCLID AVE., WILLOUGHBY, OH 44094"
22570900,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #16644,,5555 YOUNGSTOWN WARREN RD,NILES,OH,44446,Trumbull,"(41.21462650000001, -80.7515767)","5555 YOUNGSTOWN WARREN RD, NILES, OH 44446"
22570950,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #16665,,1285 SOM CENTER RD,MAYFIELD HEIGHTS,OH,44124,Cuyahoga,"(41.5246187, -81.4349055)","1285 SOM CENTER RD, MAYFIELD HEIGHTS, OH 44124"
22571150,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #16732,,100 RIVERS EDGE,MILFORD,OH,45150,Clermont,"(39.1627157, -84.2750021)","100 RIVERS EDGE, MILFORD, OH 45150"
22571200,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #16779,,3245 Geier Dr,Cincinnati,OH,45209-5009,Hamilton,"(39.1614621, -84.4256369)","3245 Geier Dr, Cincinnati, OH 45209-5009"
22571250,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #16795,,417 BOARDMAN POLAND RD,BOARDMAN,OH,44512,Mahoning,"(41.0206241, -80.64639179999999)","417 BOARDMAN POLAND RD, BOARDMAN, OH 44512"
22572650,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #16864,,7644 Voice Of America Centre Dr,West Chester,OH,45069-2794,Butler,"(39.3560745, -84.3609413)","7644 Voice Of America Centre Dr, West Chester, OH 45069-2794"
22571300,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #16873,,9040 COLERAIN AVE.,CINCINNATI,OH,45251,Hamilton,"(39.2357197, -84.5886745)","9040 COLERAIN AVE., CINCINNATI, OH 45251"
22571350,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #16927,,14070 CEDAR RD,UNIVERSITY HEIGHTS,OH,44118,Cuyahoga,"(41.4998914, -81.5338173)","14070 CEDAR RD, UNIVERSITY HEIGHTS, OH 44118"
22571400,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #16962,,8282 GOLDEN LINK BLVD,NORTHFIELD,OH,44067,Summit,"(41.3113685, -81.527757)","8282 GOLDEN LINK BLVD, NORTHFIELD, OH 44067"
22571450,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #17063,,3369 PRINCETON RD,HAMILTON,OH,45011,Butler,"(39.3878194, -84.50468529999999)","3369 PRINCETON RD, HAMILTON, OH 45011"
22571800,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #17202,,1183 WILLIAMS RESERVE BLVD.,WADSWORTH,OH,44281,Medina,"(41.0399663, -81.6903005)","1183 WILLIAMS RESERVE BLVD., WADSWORTH, OH 44281"
22571850,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #17239,,1144 STATE ROUTE 303,STREETSBORO,OH,44241,Portage,"(41.2369711, -81.35331409999999)","1144 STATE ROUTE 303, STREETSBORO, OH 44241"
22571950,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #17242,,18855 N. MARKET PLACE DRIVE,AURORA,OH,44202,Geauga,"(41.3570181, -81.3865094)","18855 N. MARKET PLACE DRIVE, AURORA, OH 44202"
22572250,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #17388,,9669 MENTOR AVENUE,MENTOR,OH,44060,Lake,"(41.6861037, -81.2941214)","9669 MENTOR AVENUE, MENTOR, OH 44060"
22572350,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,,CVS PHARMACY #17411,,762 ARLINGTON RDG,AKRON,OH,44312,Summit,"(40.9841133, -81.49602929999999)","762 ARLINGTON RDG, AKRON, OH 44312"
