BusinessName,DoingBusinessAs,Public Zip,votes_dem,votes_rep,pct_dem_lead,PopInsured,TotalPop,Life Exp, Median_Income_Dollars , Mean_Income_Dollars ,Public Address Street,LocationCity,LocationState,LocationCounty,Geo,Full Address,ZCTA5,GEOID,LicenseNumber,LicenseType,LicenseTypeSubCategory,LicenseCategoryNumber,LicenseStatus,Census_Tract_Code
CVS PHARMACY #11049 OHIO CVS STORES LLC,,43431,241,380,-22,"4,379","4,551",78," $82,533.00 "," $90,766.00 ",241 W. MADISON STREET,GIBSONBURG,OH,Sandusky,"(41.3841904, -83.32273889999999)","241 W. MADISON STREET, GIBSONBURG, OH 43431",43431,39143-GIBSONBURG B,22784100,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39143961100
CVS PHARMACY #16246,,44221,379,309,10,"26,995","29,147",79.5," $61,893.00 "," $75,862.00 ",449 HOWE AVENUE,CUYAHOGA FALLS,OH,Summit,"(41.1209869, -81.47750099999999)","449 HOWE AVENUE, CUYAHOGA FALLS, OH 44221",44221,39153-CUYAHOGA FALLS 1-C,22570100,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39153520103
CVS PHARMACY #16247,,44720,291,297,-1,"37,939","39,290",80.5," $81,045.00 "," $109,914.00 ",5584 DRESSLER ROAD NW,NORTH CANTON,OH,Stark,"(40.8620797, -81.4315038)","5584 DRESSLER ROAD NW, NORTH CANTON, OH 44720",44720,39151-JACKSON 03,22570250,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39151711321
CVS PHARMACY #16379,,44256,459,528,-6.9,"61,708","63,948",," $100,345.00 "," $129,031.00 ",1015 N COURT STREET,MEDINA,OH,Medina,"(41.15473, -81.8654487)","1015 N COURT STREET, MEDINA, OH 44256",44256,39103-MEDINA CITY 1-C,22570050,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39103408101
CVS PHARMACY #16381,,44333,435,275,22.3,"19,079","19,301",80.4," $119,313.00 "," $194,487.00 ",2801 W MARKET STREET,FAIRLAWN,OH,Summit,"(41.1280538, -81.6052191)","2801 W MARKET STREET, FAIRLAWN, OH 44333",44333,39153-FAIRLAWN 6-A,22570200,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39153532202
CVS PHARMACY #16382,,44224,388,381,0.9,"36,565","37,998",89.2," $91,096.00 "," $114,029.00 ",4200 KENT ROAD,STOW,OH,Summit,"(41.15599419999999, -81.410899)","4200 KENT ROAD, STOW, OH 44224",44224,39153-STOW 1-G,22569950,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39153530502
CVS PHARMACY #16422,,45246,349,251,16.1,"12,450","13,707",78.5," $70,150.00 "," $90,968.00 ",900 E KEMPER RD,SPRINGDALE,OH,Hamilton,"(39.2884211, -84.45420349999999)","900 E KEMPER RD, SPRINGDALE, OH 45246",45246,39061-SPRINGDALE E,22570650,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39061022301
CVS PHARMACY #16470,,45255,472,541,-6.7,"21,710","22,682",81.9," $88,694.00 "," $127,587.00 ",8680 BEECHMONT AVE.,CINCINNATI,OH,Clermont,"(39.0738008, -84.3133325)","8680 BEECHMONT AVE., CINCINNATI, OH 45255",45255,39061-ANDERSON DD,22570450,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39061025102
CVS PHARMACY #16484,,44094,357,254,16.7,"34,757","36,258",77.6," $76,125.00 "," $102,707.00 ",36195 EUCLID AVE.,WILLOUGHBY,OH,Lake,"(41.6292808, -81.4297869)","36195 EUCLID AVE., WILLOUGHBY, OH 44094",44094,39085-WILLOUGHBY CITY 6C,22570500,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39085201200
CVS PHARMACY #16644,,44446,314,355,-6.1,"18,815","19,723",76.7," $49,779.00 "," $64,140.00 ",5555 YOUNGSTOWN WARREN RD,NILES,OH,Trumbull,"(41.21462650000001, -80.7515767)","5555 YOUNGSTOWN WARREN RD, NILES, OH 44446",44446,39155-NILES CITY 1D,22570900,Terminal - Pharmacy - Category 3,IL - Large Chain Retail (12+ Outlets),3,Active,39155932900
