License: Number,Type,Licensee,Licensee Doing Business As,Public Address Street,Public Address City,Public Zip,Public Address - County,Issue Date,Expiration Date,Effective Date,Full Address,Geo,ZCTA5,Life Exp,HH Income,Insured,Pres Vote
MMD.0700099,Medical Marijuana Dispensary - Certificate of Operation,Bear River Acquisition Company LLC,Bear River Dispensary,26 Moore St,Delaware,43015-2027,Delaware,2/8/2023,7/1/2025,2/8/2023,"26 Moore St Delaware, OH 43015-2027","(40.29878799999999, -83.0482121)",43015,76.4,,,
MMD.0700091,Medical Marijuana Dispensary - Certificate of Operation,"Curaleaf Newark, LLC",Curaleaf,1150 N 21st St,Newark,43055-2924,Licking,12/30/2021,7/1/2025,7/2/2023,"1150 N 21st St Newark, OH 43055-2924","(40.079272, -82.427691)",43055,76.5,,,
MMD.0700067,Medical Marijuana Dispensary - Certificate of Operation,"Ohio Natural Treatment Solutions, LLC",Zen Leaf Newark,1250 N 21st St,Newark,43055-3061,Licking,6/30/2021,7/1/2025,7/2/2023,"1250 N 21st St Newark, OH 43055-3061","(40.0823422, -82.4273645)",43055,76.5,,,
MMD.0700061,Medical Marijuana Dispensary - Certificate of Operation,Verdant Creations Newark,Sunnyside,1546 W Church St,Newark,43055-1532,Licking,2/15/2021,7/1/2025,7/2/2023,"1546 W Church St Newark, OH 43055-1532","(40.0578497, -82.4520457)",43055,81.5,,,
MMD.0700116,Medical Marijuana Dispensary - Certificate of Operation,"Trulieve OH, Inc.",Trulieve Medical Marijuana Dispensary,8295 Sancus Blvd,Columbus,43081-7508,Franklin,6/30/2023,7/1/2025,6/30/2023,"8295 Sancus Blvd Columbus, OH 43081-7508","(40.1348564, -82.9927163)",43081,79.2,,,
MMD.0700075,Medical Marijuana Dispensary - Certificate of Operation,"BCCO, LLC",Ohio Provisions,3560 Dolson Ct Ste B,Carroll,43112-8701,Fairfield,10/1/2021,7/1/2025,7/2/2023,"3560 Dolson Ct Ste B Carroll, OH 43112-8701","(39.7602767, -82.6662873)",43112,,,,
MMD.0700154,Medical Marijuana Dispensary - Certificate of Operation,"Big Perm?s Dispensary Ohio, LLC",Debbie's Dispensary,"1100 McArthur Rd NW, Suite 1122",Jeffersonville,43128-1091,Fayette,8/10/2023,7/1/2025,8/10/2023,"1100 McArthur Rd NW, Suite 1122 Jeffersonville, OH 43128-1091","(39.6545241, -83.5364816)",43128,76,,,
MMD.0700071,Medical Marijuana Dispensary - Certificate of Operation,"Cannascend Alternative Logan, LLC",,245 W Main St,Logan,43138-1607,Hocking,6/30/2021,7/1/2025,7/2/2023,"245 W Main St Logan, OH 43138-1607","(39.5402273, -82.4130364)",43138,79.1,,,
MMD.0700174,Medical Marijuana Dispensary - Certificate of Operation,"Pure Ohio London, LLC",Pure Ohio London,920 US 42 W,London,43140,Madison,9/15/2020,7/1/2025,7/2/2023,"920 US 42 W London, OH 43140","(39.9518892, -83.3808585)",43140,74.4,,,
MMD.0700149,Medical Marijuana Dispensary - Certificate of Operation,Ohio Bound Inc,Ohio Bound Inc,914 Cleveland Ave,Columbus,43201,Franklin,5/23/2024,7/1/2025,5/23/2024,"914 Cleveland Ave Columbus, OH 43201","(39.9827034, -82.9891138)",43201,67.1,,,
