Business_Name,Address,Geo,Operational_Status,Places_ID
Sep Williamstown Primary,"300 Barnes Rd, Williamstown, KY 41097, USA","38.6470926,-84.578086",OPERATIONAL,ChIJHWQsaeSMQYgR0jhGoJoyjfU
Grant County Drugs,"24 S Main St, Dry Ridge, KY 41035, USA","38.681756899999996,-84.589193",OPERATIONAL,ChIJkxgfu0ONQYgREA8ONlzC1Rc
Grant County Drugs Williamstown,"302 Barnes Rd, Williamstown, KY 41097, USA","38.6470474,-84.58029499999999",OPERATIONAL,ChIJwYlgFueMQYgRp4FMWCqviec
Walmart Pharmacy,"20 Ferguson Blvd, Dry Ridge, KY 41035, USA","38.6793507,-84.5972096",OPERATIONAL,ChIJ515hrEiNQYgR_fhuwxtjFR0
Total Care Pharmacy,"40 Broadway St, Dry Ridge, KY 41035, USA","38.6821844,-84.59454889999999",OPERATIONAL,ChIJb7CakUWNQYgRGBE9WPlmyYg
Total Care Pharmacy,"45 Klee Wy, Falmouth, KY 41040, USA","38.6647247,-84.33281699999999",OPERATIONAL,ChIJ3VqixEuDQYgRQj6ouQMuLqk
CVS Pharmacy,"1157 Ridgeway Ave, Falmouth, KY 41040, USA","38.6781931,-84.3441332",OPERATIONAL,ChIJrWke5VGDQYgRQTs2s3uicvk
Primary Plus Pharmacy,"17621 W KY-9, Tollesboro, KY 41189, USA","38.557108299999996,-83.5933287",OPERATIONAL,ChIJJUS5XKtUQYgR4xsqH4RY240
Walmart Pharmacy,"240 Wal-Mart Way, Maysville, KY 41056, USA","38.620877899999996,-83.7872893",OPERATIONAL,ChIJh64JV_JaQYgR62jMpbMOmiM
Total Care Pharmacy,"118 Clark St, Flemingsburg, KY 41041, USA","38.417957,-83.7377393",OPERATIONAL,ChIJ2WxYBZT8Q4gRvGgFtlxyR5k
Kroger Pharmacy,"370 Market Square Dr, Maysville, KY 41056, USA","38.6255685,-83.79104509999999",OPERATIONAL,ChIJ0Ua_V-5aQYgRP1ywqe9pPyo
Total Care Pharmacy,"209 S Main Cross St, Flemingsburg, KY 41041, USA","38.4206679,-83.7343483",OPERATIONAL,ChIJbWWUVbf9Q4gRfLamS1AF82A
Walgreens Pharmacy,"1160 U.S. Hwy 68, Maysville, KY 41056, USA","38.6379508,-83.78587259999999",OPERATIONAL,ChIJN1vKHlZbQYgReNRqHBQw09I
