Dataset: ACS 5-Year Estimates Public Use Microdata Sample (2023),
Selected Geographies,Count
Total,"5,271,573"
Allen County PUMA; Ohio,"44,697"
"Ashland, Holmes & Coshocton Counties PUMA; Ohio","53,398"
"Athens, Washington & Meigs Counties PUMA; Ohio","65,114"
Montgomery County (East Central)--Dayton & Riverside Cities PUMA; Ohio,"83,943"
"Montgomery County (Northeast)--Huber Heights, Trotwood, Vandalia & Englewood Cities PUMA; Ohio","59,569"
Montgomery County (Southeast)--Kettering & Centerville Cities PUMA; Ohio,"61,079"
Montgomery County (West)--Miamisburg & West Carrollton Cities PUMA; Ohio,"47,884"
Ashtabula & Geauga Counties PUMA; Ohio,"83,951"
"Auglaize, Logan & Champaign Counties PUMA; Ohio","60,735"
"Belmont, Guernsey, Noble & Monroe Counties PUMA; Ohio","63,567"
"Butler County (North & West)--Middletown, Oxford & Trenton Cities PUMA; Ohio","51,091"
Butler County (South Central)--Hamilton & Fairfield Cities PUMA; Ohio,"57,227"
Butler County (Southeast)--Monroe City & Beckett Ridge PUMA; Ohio,"46,459"
Cincinnati (East) & Norwood Cities PUMA; Ohio,"56,153"
Cincinnati City (Central) PUMA; Ohio,"67,361"
Cincinnati City (West) PUMA; Ohio,"54,327"
Clark County PUMA; Ohio,"61,107"
Clermont (East) & Brown Counties PUMA; Ohio,"48,206"
Clermont County (West) PUMA; Ohio,"58,788"
Cleveland City (Central) PUMA; Ohio,"63,474"
Cleveland City (East) & Bratenahl Village PUMA; Ohio,"86,417"
Cleveland City (West) PUMA; Ohio,"51,563"
Columbiana & Jefferson Counties PUMA; Ohio,"77,251"
Columbus (Central) & Grandview Heights Cities PUMA; Ohio,"52,535"
"Columbus (East), Reynoldsburg, Whitehall & Bexley Cities PUMA; Ohio","58,577"
"Columbus (Far Northeast), Gahanna & New Albany Cities PUMA; Ohio","52,491"
Columbus (Far Northwest) & Dublin Cities PUMA; Ohio,"48,176"
"Columbus (Far West), Hilliard & Upper Arlington Cities PUMA; Ohio","55,083"
Columbus (North) & Westerville Cities PUMA; Ohio,"51,664"
Columbus (North) & Worthington Cities PUMA; Ohio,"57,134"
